Y,X1,X2,X3,X4,X5
4.75,291,2,1,1,1
3.43,798,3,2,2,0
5.6,1423,2,1,1,1
3.45,239,4,2,2,1
4.05,448,4,2,2,0
4.47,179,3,1,2,1
3.7,320,3,1,1,0
6.6,207,2,2,2,0
4.15,392,3,2,2,0
6.75,588,2,1,1,1
5.05,364,4,2,2,0
22.2,613,3,1,2,0
3.55,569,4,2,2,0
4,420,4,2,2,0
5.01,457,4,2,2,0
3.3,370,4,2,2,0
4.55,920,2,1,1,1
5.55,426,3,2,1,0
5.5,102,3,2,1,1
3.4,198,2,1,1,1
5.2,573,3,1,2,1
4.42,585,4,2,2,0
5.72,292,2,1,1,0
3.85,349,4,2,2,0
3.37,400,3,2,2,0
2.82,564,3,1,2,0
3.45,571,3,2,2,0
2.28,580,3,1,2,0
3.85,313,3,1,1,0
8.71,1062,4,2,2,0
7.5,401,3,1,1,0
4.7,551,3,1,2,0
6.525,669,2,1,2,0
5.225,169,2,1,1,1
6.3525,489,2,1,1,0
6.9,297,3,2,2,1
2.4,178,2,1,1,1
3.7,547,3,2,2,0
4.8,693,4,2,1,0
4.5,1213,3,2,2,0
3.95,788,2,1,1,1
3.9,608,4,2,2,0
3.8,400,4,2,2,0
3.215,216,2,1,1,1
6.1,955,2,2,1,1
3.299,121,2,1,1,0
3.4,467,4,2,2,0
4.35,752,4,2,2,0
3.85,1732,2,1,1,1
3,656,3,1,1,0
3.25,336,3,2,2,0
6.52,3003,2,2,1,1
10.95,865,3,3,3,0
2.77,938,2,1,1,1
4.8,497,3,2,1,1
3.62,697,1,1,1,1
3,2323,1,1,1,1
4.2,399,4,2,2,0
3.58,392,3,2,2,0
3.29,632,3,2,2,0
7.1,271,3,1,1,1
3.25,472,4,2,2,0
4.45,608,4,2,2,0
3.72,399,4,2,2,0
14,759,3,1,1,0
4.62,508,3,1,1,0
4.25,773,4,2,2,0
2.5,54,2,1,1,1
6,409,3,1,1,0
5.55,646,4,3,2,0
12.8,130,2,2,2,0
4.006,2466,2,1,1,1
2.57,1805,2,1,1,1
8.3,715,2,1,2,0
3.3,348,2,1,1,0
3.88,376,3,2,2,0
3.533,577,3,2,1,0
5.375,155,3,2,2,0
2.45,1181,1,1,1,1
3.6,262,3,2,2,1
5.8,160,3,2,1,0
4.4,448,4,2,2,0
12.5,199,2,1,1,1
4.1,400,3,2,2,0
3.25,575,3,1,2,0
5.3,213,3,2,2,0
3.93,147,3,2,2,0
3.95,404,4,2,2,0
4.325,604,4,3,2,0
2.9,590,3,1,2,0
3.85,724,3,1,4,0
3.835,783,2,1,1,1
5.91,123,2,2,1,1
2.29,420,4,2,2,0
2.45,1977,2,1,1,1
3.45,764,3,1,2,0
4.25,668,1,1,1,0
4.23,209,3,2,2,0
4.775,400,4,2,2,0
6.9,339,2,1,2,0
3.35,800,3,1,2,0
4,1915,2,1,0,1
7.65,634,2,1,1,0
9,383,3,1,1,0
4.199,349,3,2,2,0
5.35,156,2,1,1,1
7.45,465,2,1,1,0
5.11,392,3,1,1,1
4.22,554,3,2,2,0
3.76,1167,2,2,1,1
4.5,539,3,2,2,0
5.025,510,4,2,2,0
4.81055,645,4,2,2,0
3.57,614,3,1,1,0
4.51,825,2,1,1,1
8.425,315,3,2,2,0
3.1,548,3,1,1,0
4.05,374,3,2,2,0
3.65,448,3,2,2,0
8.5,546,3,2,2,0
5.05,1020,2,1,1,1
2.975,614,3,2,2,0
3.3,2832,1,1,1,1
4.95,576,4,2,2,0
5.45,187,2,1,1,1
12.86,412,3,1,2,0
13,902,3,2,2,0
3.65,300,3,2,1,0
2.95,273,1,1,1,1
2.85,603,3,1,2,0
5,797,2,1,1,1
3.5,439,4,2,2,0
5.15,3003,1,1,1,1
4.3,261,3,2,2,1
16.7,1018,4,3,2,0
7.01,238,3,2,2,1
2.7,750,3,1,2,0
4.67,502,3,1,1,0
15.49,184,3,2,1,0
17.6,340,4,3,1,0
4.57,587,4,2,2,0
5.56,761,2,1,2,1
6.65,678,3,2,2,0
3.85,300,3,1,1,0
15.4,402,3,2,2,0
8.85,154,2,1,1,0
4.41,616,4,2,2,0
8.75,669,3,1,2,0
4.8,512,4,2,2,0
4.8,863,4,2,2,0
4.05,420,4,2,2,0
8.54,142,3,2,2,1
3.15,273,2,1,1,1
3.1,1019,2,1,1,1
4.36,627,3,1,0,0
13.69,400,3,1,2,0
22.5,2838,2,2,2,1
4.56,584,3,2,2,0
3.83,2311,1,1,1,1
10.3,464,4,2,2,0
5.4,1001,4,2,4,0
19.5,373,3,3,2,0
2.77,270,2,1,1,1
4.795,512,4,2,2,0
3.5,568,4,2,2,0
9,1013,3,2,4,1
3.695,106,1,2,2,0
14.31,636,4,2,2,0
3.44,570,4,2,2,0
5.65002,313,4,2,2,0
6.65,193,3,2,1,0
3.2,659,4,2,2,0
3.975,2832,1,1,1,1
3.21,1003,2,1,1,1
3.425,676,3,1,2,0
6.4,142,3,2,1,1
5.2,797,3,2,1,0
4.50001,2321,1,1,1,1
2.95,149,2,1,1,1
3.19,216,3,1,1,1
3.42,512,3,2,2,0
4.065,667,5,2,2,0
10.55,2322,3,3,2,1
13.25,847,3,1,2,0
3.05,280,3,2,1,1
38,920,4,3,2,0
3.63,82,2,1,1,1
4.6,195,2,1,2,1
5.6,571,3,1,2,0
6.68,761,3,2,1,1
6.3,559,4,4,2,0
3.015,790,2,1,1,1
3.6,697,3,2,2,0
3.399,72,2,1,1,0
3,1378,1,1,0,1
4.7,696,5,2,5,0
4.15,1937,2,2,1,1
3.65,504,3,1,1,0
8.8,138,3,1,2,1
6.65,215,3,2,2,1
9.0888,670,4,2,2,0
8.625,1037,2,2,2,1
4.99,1349,2,2,1,0
4.225,350,3,2,2,0
4.1,585,3,1,2,0
10.65,571,4,2,5,0
6.86,1386,2,2,1,1
6.5,249,3,2,2,1
4.775,160,3,2,1,1
6.5,2230,2,2,1,1
7,715,3,1,1,0
5.055,198,2,2,1,1
4.68,2038,2,1,2,1
2.8,284,4,2,1,1
3.2,330,3,2,1,0
5.05,412,3,2,2,0
9.2,725,3,1,3,0
4.265,2343,1,1,1,1
6.39,238,3,2,2,1
5.6725,1296,2,1,1,1
3.2,760,1,1,1,1
2.35,393,2,1,1,1
3.5,312,3,2,1,0
2.15,166,4,2,2,0
3.05,557,3,1,1,0
4.59,782,4,2,2,0
3.6,914,2,1,1,1
4.6,420,4,2,2,0
4.42,661,4,2,2,0
2.45,580,3,1,4,0
2.95,220,2,2,1,1
2.5,165,2,1,1,0
5.91,296,3,1,1,0
20.85,620,3,2,3,0
4.9,656,4,2,2,0
4,605,2,2,1,0
9.8,228,4,2,2,1
11,186,3,1,1,0
7.825,472,4,1,4,0
4.4,1022,3,2,2,0
4.55,585,3,1,1,0
19.5,892,5,2,3,0
7.9885,1397,2,2,1,1
5.61,230,2,1,2,1
3.56,669,3,1,1,0
4.8,458,3,2,2,0
2.85,929,2,1,1,1
27.7,650,4,4,2,0
4.35,545,3,2,1,0
4.1,306,3,2,2,0
3.585,538,4,1,2,0
5,576,4,2,2,0
8.22,225,3,2,2,0
4.6,448,4,2,1,0
5.8,195,2,1,1,1
7.75,780,2,2,1,1
5.6,910,3,1,2,0
3.45,226,2,1,1,1
3.15,534,4,2,2,0
8.37,657,4,2,2,0
8.6,287,4,2,2,1
2.75,2038,2,1,1,1
3.75,790,3,2,2,0
2.65,561,3,2,3,0
3.375,705,3,1,1,1
3.51,337,3,2,2,0
12.79,693,3,1,2,0
23,1557,2,2,3,0
3.72,868,3,1,2,0
5.565,1386,3,1,1,0
5.9,319,3,2,2,0
2.66,574,3,1,2,0
4.3,480,4,2,2,0
3.39,191,3,1,2,0
5.27,673,3,1,2,0
4.4,190,3,2,1,1
26,657,5,3,2,0
2.98,864,2,1,1,1
3.8,536,3,1,2,0
5.9,630,5,3,3,0
4.19,661,4,2,2,0
3.4,655,2,1,1,1
2.785,452,1,1,1,1
3.38,604,4,1,2,0
3.3,551,3,2,2,0
2.1,448,4,2,2,0
3.42,448,3,2,2,0
3.824,293,4,2,2,0
3.39,899,2,1,1,1
3.9,2106,2,1,1,1
7.03,257,3,2,2,1
3.44,177,2,1,1,0
3.67,320,3,2,1,0
7.38,606,4,3,2,0
4.97,350,4,3,2,0
3.75,612,3,1,2,0
5.4,640,4,2,2,0
4.12002,515,4,2,2,1
6.201,163,2,1,1,1
13.2,634,3,1,1,0
5.12,750,4,2,2,0
3.35,541,3,1,2,0
3.08,313,3,2,1,0
5.725,487,4,2,2,0
16.1,651,3,2,4,0
5.2,450,2,2,1,1
3.88,436,4,2,2,0
5.8,2322,2,1,1,1
9.6,1018,3,1,2,0
3.52,691,4,2,2,0
5.3299,650,3,1,1,1
11.50243,583,3,1,2,0
7.04,862,3,1,1,0
7.72,588,3,2,1,0
6.6,2248,2,2,1,1
5.7,1214,1,1,1,1
4.8,2127,2,1,1,1
2.65,329,3,1,1,0
47,1094,3,3,3,0
5.18,664,2,2,1,1
5.8,1850,2,1,1,1
4.145,76,2,1,1,1
2.97,535,3,1,3,0
52,1310,5,4,2,0
2.5,2077,1,1,1,1
3.1425,315,3,2,2,0
4.75,419,4,2,2,0
9.45,697,4,2,2,0
5.65,576,2,2,1,1
10.1,506,2,1,2,1
15.75,725,2,1,1,0
7.75,405,2,1,2,0
8.06,343,3,1,1,0
4.85,691,3,2,1,0
3.47,587,3,1,1,0
4.52,595,4,2,2,0
5,225,2,1,1,0
3.4,499,3,1,1,0
4.35,536,4,2,2,0
4.1,578,4,3,3,0
3.3,500,3,2,2,0
3.9,469,4,2,2,0
3.925,575,2,1,0,1
6,988,4,2,2,0
9.2,568,3,1,2,0
2.58,108,2,1,1,1
3.449,238,3,2,1,0
4.62,540,4,2,2,0
28.85,908,4,3,2,0
3.614,219,3,2,2,1
2,1294,1,1,1,1
3.09,319,3,1,1,0
7.6,692,3,2,1,1
8,613,3,1,3,0
4,400,4,2,2,0
3.8,649,3,2,1,0
3.1,320,3,1,1,0
6.8,734,3,2,1,0
3.3,329,3,1,1,0
3.25,605,3,1,1,0
9.225,440,3,2,2,1
4.18,221,2,1,1,0
3.6,988,2,1,1,1
3.63,325,2,2,2,1
4.52,880,2,1,1,1
8.52,235,3,3,2,0
7.56,336,2,1,1,0
7.5,657,3,2,2,0
3.85,624,3,1,1,0
18.6,594,4,2,1,0
3.23,320,3,1,1,0
15.3,3043,2,2,2,1
3.415,294,3,2,1,0
5.55,742,4,2,2,0
8.05,697,3,3,6,0
4.2,98,2,2,1,1
4.08,652,2,1,1,1
6.1,102,3,2,1,0
3.788,512,4,2,2,0
3.2,630,3,2,2,0
6.2,642,3,1,1,0
4.174,349,4,2,2,0
6.21,672,3,1,6,0
4.2,793,4,2,2,0
14.38888,731,3,3,5,0
5.2,592,3,1,1,0
6.15,635,2,1,1,1
3.67,464,4,2,2,0
5.3,400,6,2,2,0
7.4,744,4,2,2,0
2.75,920,2,1,1,1
4.5,825,4,2,2,0
4.5,963,2,1,1,1
3.27,139,2,2,1,0
2.9,306,1,2,2,0
4.5,521,2,1,1,1
2.9,400,4,2,2,0
68.5,1301,5,4,2,0
2.62,284,3,1,2,1
5.04,595,3,1,1,0
3.72,778,3,2,2,0
5.82,512,4,2,2,0
3,574,3,2,1,0
4.6,199,3,3,1,0
11.9,829,3,1,2,0
3.2,878,1,1,1,0
2.82,211,2,1,2,1
13.5,663,4,2,2,0
6.31,555,3,1,2,0
4.395,185,3,1,2,1
3.042,542,4,2,2,0
2.6,202,2,1,1,1
4.6,2416,2,1,1,1
11.6,794,3,2,2,1
3.1,537,3,1,1,0
3.1,313,2,2,1,0
4.85,672,4,2,2,0
7.35,405,3,1,1,0
3.3,131,2,1,1,1
4.52,262,3,2,2,0
2.83,142,2,1,2,1
4.2,1732,2,1,1,0
5.2,767,4,2,2,0
3.95,263,3,2,2,0
3.1995,765,1,1,1,1
4.87,633,3,1,1,1
4.1,742,4,2,2,0
4.85,148,2,1,2,1
3.72,516,3,2,2,0
5.4,566,4,2,2,0
3.6,400,3,1,1,0
6.8,243,3,2,1,1
4.68,114,3,2,2,1
6.71,487,4,1,2,0
4,369,3,2,2,0
3.9,447,4,2,2,0
8.3,658,4,2,2,0
4.25,782,4,2,2,0
4.05,1471,1,1,1,1
5,278,3,2,1,1
5.5,1463,2,2,1,1
9,371,3,1,1,0
3.25,1271,1,1,1,1
3.6,182,2,1,1,1
6,238,3,2,2,1
3.07,555,3,1,2,0
6.5,818,3,1,3,0
3.1895,266,2,1,1,0
8.5,154,2,1,2,0
5.5,172,2,1,1,1
11.3,564,4,2,2,0
3.9,400,4,2,2,0
3.45,52,2,1,1,0
2.25,822,2,1,1,1
3.65,526,2,1,1,1
3.375,264,3,2,2,0
3.26,563,3,2,2,0
5.27,719,4,1,2,0
6.04,711,3,1,2,0
2.05,110,2,1,1,1
3.3,282,3,2,1,0
11.2,858,3,1,4,0
3.925,442,2,1,1,0
10.65,158,2,3,1,0
10.725,761,5,2,2,0
13.8,801,3,2,2,0
6.75,613,3,2,1,1
3.685,575,2,1,0,1
4.825,571,4,2,2,0
4.2525,191,3,1,1,0
5.8,579,3,2,2,0
7.5,490,4,2,2,0
5.5,186,3,2,1,0
3.6,562,3,2,2,0
3.8,612,3,2,2,0
3.8,546,3,1,1,0
2.55,2661,1,1,1,1
7.36,1386,2,2,1,1
28.5,650,4,2,4,0
5,1012,2,1,1,1
6.25,1293,2,2,1,1
3.51,739,3,2,2,0
4.1,301,3,2,1,0
2.35,549,3,1,1,0
6,1947,2,2,1,1
8.1,956,2,1,2,0
12,444,3,2,2,0
26.1,723,4,4,3,0
3.65,675,3,1,1,0
7.1,809,3,2,2,1
6.65,777,5,1,4,0
4.77,729,4,2,2,0
3.05,598,1,1,1,1
3.87,640,3,2,1,0
13.1,1027,5,2,3,0
13.76,2825,2,2,1,1
3.95,588,3,1,2,0
4.48,448,4,2,2,0
3.2,650,3,1,4,0
35,561,3,3,4,0
4.88,301,3,2,2,0
2.7,96,3,1,1,1
2,400,3,2,2,0
4.4,444,4,2,2,0
8.5,173,2,1,1,1
2.99,613,3,1,2,0
4.05,450,3,2,2,0
3.68,601,4,2,2,0
2.88,341,2,1,1,0
3.875,534,3,2,1,0
5.65,792,3,2,2,0
2.83,268,2,1,1,1
3.65,619,3,1,1,0
8.9,367,3,2,6,0
3.75,609,3,2,2,0
45.3,942,3,1,2,0
6.65,811,4,2,3,0
4.93,2196,2,1,1,1
3.5,349,3,2,2,0
5.98,99,2,2,1,0
5.45,3482,1,1,1,1
8.7,512,3,1,2,0
6.05,98,2,1,1,1
3.359,138,3,2,2,1
3.01,1505,2,1,1,1
7.1,253,3,2,3,0
6.51,669,2,1,1,0
3,214,2,1,1,1
4.06002,575,4,3,2,0
5.4,630,4,2,2,0
4.75,620,4,2,2,0
6.2208,1282,2,2,1,1
5.5,455,4,2,2,0
8.61,348,4,3,2,0
2.95,647,3,1,2,0
17.05,265,3,1,1,0
3.95,540,3,2,2,0
3.61,433,3,2,2,0
5.6,139,3,2,2,1
4.785,697,2,1,1,1
4.05,738,3,2,6,0
3.18,55,1,1,1,1
9.85,337,3,3,2,0
3.59,337,3,2,1,0
2.25,2018,2,1,2,1
12.9,311,3,3,2,1
14.2,375,5,4,2,0
3.18,419,3,2,2,0
4.7,486,3,2,2,0
3.4,448,3,1,1,0
7.97,2896,2,2,1,1
8.55,502,3,1,2,0
3.199,293,3,2,1,0
20,1053,4,2,2,0
26.3,514,4,2,1,0
3.4,667,4,2,2,0
4.875,1638,2,1,1,1
2.6,531,3,1,2,0
3.425,983,2,1,1,1
4.55,649,4,2,2,0
2.55,955,2,1,1,1
3.95,204,3,2,1,1
2.75,809,3,1,4,0
4.52,522,5,2,2,0
3.39,54,2,1,1,0
6.59,699,4,2,2,0
6.1,531,3,1,2,0
3.9,752,3,2,1,0
2.7,338,2,1,1,0
4.03,282,3,2,1,0
4.4,74,3,3,2,1
3.36,300,3,2,2,0
3.5,2177,2,1,1,1
4,550,3,2,2,0
2.5,177,2,1,1,1
3.36,70,2,1,1,1
9.96,495,4,2,1,0
4.2,512,4,2,2,0
6.27,217,3,2,2,0
7,220,3,2,1,0
6.2,589,3,3,2,0
6.8,1349,2,2,1,0
10.5,652,3,2,1,0
9.2,508,3,2,2,0
6.43,501,3,1,2,0
3.825,832,1,1,1,1
3.82,376,3,1,2,1
2.85,429,3,1,1,0
3.03,165,2,1,1,1
3.6,274,3,1,2,1
3.89,320,3,2,2,0
3.35,161,2,2,1,1
5.5,587,4,1,2,0
5.025,645,3,2,3,0
9.5,286,2,2,2,0
6.75,294,3,2,1,0
3.65,582,4,2,2,0
6.91,511,2,1,1,0
3.6,527,4,2,4,0
3.28,293,4,2,1,0
6.1,312,3,2,2,1
5.755,395,5,3,2,0
2,700,3,2,2,0
5.65,166,4,2,2,0
12.15,496,3,3,1,1
2.4,944,1,1,1,1
3.3,529,3,1,1,0
5.9,181,2,1,1,0
2.95,560,1,1,1,1
7.375,759,7,2,4,0
4.55,501,3,1,1,0
17,643,4,3,2,0
6.35,1140,4,2,2,0
5.1,565,3,1,1,0
3.8,639,3,3,2,0
4.45,1461,2,1,1,1
3.05,595,2,1,2,0
3.37,1685,3,1,1,1
3.60002,187,3,2,2,1
7.06,190,3,2,1,0
3.21,530,3,1,1,0
3.3,333,3,1,1,0
5.76,1684,2,1,1,1
4.375,400,3,2,2,0
11.6,360,4,3,2,0
4.1,334,4,2,2,0
3.9,987,3,2,4,0
4.11,643,2,1,2,0
3.37,512,3,2,2,0
3.35,223,3,1,2,1
2.525,590,3,1,1,0
3.5,190,3,2,1,0
4.3,440,3,2,2,0
5.7,314,3,2,2,0
5.8,482,3,1,3,0
2.5,535,3,1,2,0
15.75,618,3,2,2,0
4.1,1110,1,1,1,1
4.82,1226,2,1,1,1
3.2,136,2,1,1,0
4.08,400,3,1,1,0
4.28,550,1,1,1,1
16.75,100,4,2,2,1
3.8,689,3,1,1,0
12,505,4,1,2,0
2.4,586,3,1,5,0
3.799,190,3,3,2,0
4.55,1939,2,1,1,1
2.76,116,2,1,1,1
5.4,2804,2,1,1,1
4.65,475,2,1,1,1
6.165,273,3,1,1,1
9.01,251,3,2,1,1
5.9,760,3,2,2,0
5.15,1397,2,2,1,1
3.7,320,3,1,1,0
14,650,4,3,2,0
24.65,251,4,2,3,0
3.77,164,2,1,0,0
7.6,708,3,1,1,0
5.75,880,4,2,4,0
6.7,102,3,2,2,0
4.9,450,4,2,2,0
2.775,126,3,1,1,1
6.35,83,2,2,1,1
7.4,296,3,3,1,1
6.15,786,4,3,2,0
7.2,211,3,2,2,1
7.475,371,3,1,2,0
3.228,147,2,1,1,1
3.65,3372,1,1,1,1
3.3,544,3,2,2,0
2.1,442,3,2,1,0
7.4,695,4,2,2,0
3.45,629,3,1,4,0
10,1000,3,2,4,0
2.6,178,2,1,1,1
6.64,1025,3,3,4,0
4.9,1752,2,2,1,1
3.48,651,3,2,2,0
14.3,664,5,3,2,0
3.34,508,3,2,2,0
3.1,728,3,2,2,0
6.15,368,2,1,2,0
5.7,766,2,2,1,0
3.9,144,2,1,1,1
3,296,2,1,6,0
3.31,655,4,2,2,0
5.01,139,2,1,1,1
4.2,840,3,1,1,0
16.51,292,3,1,2,0
3.85,512,3,2,2,0
7.2,655,3,2,3,0
4.025,664,4,2,2,0
3.5,711,3,2,4,0
3.29,959,1,1,1,1
2.55,120,2,1,1,1
3.75,185,4,2,4,0
3.806,106,3,2,1,0
2.85,790,1,1,1,0
6.6,1827,2,2,0,1
4.495,92,3,2,2,1
2.95,530,3,1,1,0
2.99,192,2,1,1,1
5.4,447,2,1,1,0
19.4,955,3,2,2,0
13.15,661,2,1,2,0
14,804,2,2,1,0
6.7,191,2,1,1,1
5.05,1226,2,1,1,1
3.45,237,2,1,1,1
3.3,313,3,2,2,0
3.85,595,4,2,2,0
3.35,580,3,1,1,0
3.9,513,4,2,2,0
4.015,239,1,1,1,1
4.4,1116,4,2,3,0
9.28,730,4,3,3,0
3.3,140,2,1,1,1
3.095,554,3,1,2,0
8.8,710,4,2,2,0
5.65,111,3,2,2,0
3.78,313,3,1,1,0
4.5,341,2,1,1,0
5.5,261,4,2,2,0
4.05,636,4,2,2,0
4.5,801,3,2,2,0
4.30555,1031,3,2,1,0
3.56,330,3,1,1,0
9.35,649,4,1,2,0
17.25,1091,4,1,2,0
3.74,1002,4,2,2,0
10.23,438,4,1,1,0
3,577,3,2,2,0
6.2,416,3,1,4,0
4,213,2,1,2,1
3.93,1401,2,1,1,1
4.8,807,3,2,2,0
3.185,1876,2,1,1,1
3.5495,325,4,2,2,0
3.4,310,3,2,2,0
2.75,657,1,1,1,1
3.37,512,3,2,2,0
4.275,474,3,2,2,0
2.85,534,3,1,1,0
17.15,824,4,2,2,0
7.22,531,3,1,2,0
29.5,703,3,2,2,0
2.75,1047,2,1,1,1
4.25,189,2,1,2,1
6,773,3,2,1,1
2.95,604,3,1,1,0
4.37,1937,2,2,1,1
9.75,766,4,4,4,0
4.45,575,2,1,0,1
3.675,533,3,1,1,0
5.2,561,3,2,1,0
2.46,359,2,1,1,1
9.8,483,3,1,1,0
2.95,664,3,1,2,0
3.52,180,2,2,1,1
3.47,638,3,2,1,0
2.835,530,3,1,1,0
3.8,480,3,2,2,0
4.69,773,2,1,1,1
4.07,833,3,2,2,0
4.425,417,3,2,2,0
4.14,424,4,2,2,0
4.5,320,3,2,1,0
5.45,401,6,3,2,0
8,1285,2,1,1,1
7.55,174,3,3,2,0
7.41,660,3,2,2,0
